iter	Passed	Remaining
334	8574	17021
335	8602	16999
336	8626	16971
337	8650	16943
338	8678	16922
339	8699	16887
340	8725	16862
341	8748	16832
342	8773	16804
343	8796	16774
344	8821	16748
345	8847	16723
346	8870	16692
347	8896	16668
348	8926	16650
349	8952	16626
350	8982	16608
351	9007	16582
352	9030	16550
353	9053	16522
354	9077	16492
355	9105	16471
356	9132	16448
357	9156	16421
358	9178	16389
359	9201	16358
360	9226	16332
361	9249	16301
362	9275	16277
363	9303	16255
364	9326	16225
365	9350	16197
366	9374	16169
367	9398	16141
368	9422	16113
369	9448	16088
370	9471	16058
371	9494	16028
372	9517	15998
373	9543	15974
374	9565	15943
375	9586	15910
376	9611	15883
377	9634	15854
378	9659	15826
379	9684	15800
380	9710	15775
381	9735	15750
382	9758	15720
383	9782	15692
384	9806	15665
385	9831	15639
386	9854	15608
387	9877	15580
388	9900	15550
389	9924	15522
390	9949	15497
391	9976	15473
392	10000	15446
393	10026	15421
394	10048	15390
395	10074	15366
396	10103	15345
397	10130	15322
398	10155	15297
399	10177	15266
400	10201	15238
401	10227	15214
402	10251	15186
403	10273	15155
404	10299	15130
405	10324	15105
406	10346	15075
407	10369	15046
408	10393	15019
409	10418	14992
410	10452	14979
411	10475	14950
412	10501	14925
413	10525	14898
414	10547	14868
415	10571	14841
416	10593	14811
417	10619	14785
418	10644	14759
419	10669	14734
420	10694	14707
421	10723	14687
422	10753	14668
423	10779	14644
424	10808	14623
425	10834	14599
426	10858	14570
427	10879	14539
428	10901	14509
429	10924	14480
430	10952	14459
431	10978	14435
432	11004	14410
433	11028	14382
434	11051	14354
435	11075	14327
436	11098	14298
437	11124	14273
438	11150	14248
439	11173	14220
440	11198	14194
441	11225	14171
442	11249	14143
443	11272	14115
444	11298	14090
445	11323	14066
446	11347	14038
447	11369	14008
448	11392	13980
449	11415	13952
450	11438	13924
451	11465	13900
452	11486	13870
453	11509	13842
454	11533	13814
455	11558	13788
456	11588	13769
457	11616	13746
458	11639	13719
459	11664	13693
460	11690	13668
461	11716	13644
462	11742	13619
463	11769	13595
464	11793	13569
465	11817	13541
466	11843	13517
467	11871	13494
468	11896	13468
469	11919	13441
470	11944	13415
471	11967	13387
472	11991	13360
473	12014	13332
474	12036	13303
475	12058	13274
476	12084	13250
477	12107	13221
478	12129	13193
479	12152	13164
480	12174	13136
481	12197	13108
482	12222	13082
483	12247	13056
484	12270	13029
485	12293	13001
486	12317	12974
487	12341	12948
488	12366	12922
489	12390	12896
490	12413	12869
491	12438	12842
492	12464	12818
493	12486	12790
494	12513	12766
495	12539	12741
496	12562	12714
497	12588	12689
498	12610	12660
499	12637	12637
500	12661	12611
501	12686	12585
502	12706	12554
503	12730	12528
504	12753	12501
505	12778	12475
506	12801	12447
507	12823	12419
508	12845	12391
509	12868	12363
510	12892	12337
511	12915	12309
512	12941	12285
513	12965	12258
514	12990	12234
515	13014	12207
516	13043	12185
517	13066	12158
518	13091	12133
519	13119	12110
520	13142	12083
521	13165	12055
522	13191	12030
523	13214	12003
524	13238	11977
525	13261	11950
526	13284	11923
527	13307	11896
528	13330	11869
529	13356	11844
530	13378	11816
531	13401	11789
532	13425	11762
533	13452	11739
534	13476	11713
535	13498	11685
536	13527	11663
537	13552	11638
538	13580	11615
539	13603	11588
540	13626	11561
541	13652	11536
542	13676	11510
543	13702	11486
544	13726	11459
545	13749	11432
546	13775	11408
547	13805	11387
548	13833	11364
549	13863	11342
550	13891	11319
551	13919	11297
552	13947	11274
553	13972	11248
554	13997	11223
555	14023	11198
556	14049	11173
557	14078	11151
558	14107	11129
559	14130	11102
560	14153	11075
561	14180	11052
562	14206	11027
563	14232	11002
564	14255	10975
565	14279	10949
566	14306	10925
567	14330	10899
568	14351	10871
569	14379	10847
570	14402	10820
571	14424	10793
572	14450	10768
573	14474	10742
574	14496	10714
575	14520	10688
576	14546	10664
577	14573	10640
578	14598	10614
579	14622	10588
580	14647	10562
581	14672	10537
582	14698	10513
583	14726	10490
584	14749	10463
585	14778	10440
586	14806	10417
587	14831	10392
588	14859	10368
589	14886	10344
590	14911	10319
591	14937	10295
592	14960	10267
593	14983	10241
594	15010	10217
595	15031	10189
596	15057	10164
597	15080	10137
598	15104	10111
599	15131	10087
600	15158	10063
601	15185	10039
602	15212	10015
603	15238	9990
604	15265	9967
605	15294	9943
606	15327	9923
607	15355	9900
608	15388	9880
609	15419	9858
610	15446	9834
611	15471	9808
612	15497	9783
613	15554	9778
614	15581	9754
615	15609	9730
616	15632	9703
617	15657	9678
618	15687	9655
619	15714	9631
620	15745	9609
621	15774	9586
622	15799	9560
623	15828	9537
624	15853	9512
625	15881	9488
626	15906	9462
627	15936	9440
628	15963	9415
629	15990	9391
630	16015	9365
631	16042	9341
632	16068	9316
633	16093	9290
634	16114	9262
635	16138	9236
636	16162	9210
637	16185	9183
638	16210	9158
639	16233	9131
640	16257	9105
641	16281	9079
642	16301	9050
643	16325	9024
644	16348	8997
645	16372	8971
646	16398	8947
647	16425	8922
648	16448	8895
649	16471	8869
650	16496	8843
651	16522	8818
652	16544	8791
653	16571	8767
654	16601	8744
655	16625	8718
656	16650	8692
657	16673	8666
658	16697	8640
659	16725	8616
660	16748	8589
661	16774	8564
662	16797	8538
663	16824	8513
664	16849	8488
665	16872	8461
666	16896	8435
667	16917	8408
668	16937	8380
669	16965	8356
670	16990	8330
671	17015	8305
672	17040	8279
673	17066	8254
674	17092	8229
675	17115	8203
676	17142	8178
677	17167	8153
678	17194	8128
679	17223	8105
680	17253	8081
681	17279	8056
682	17304	8031
683	17327	8005
684	17354	7980
685	17380	7955
686	17404	7929
687	17431	7904
688	17455	7878
689	17480	7853
690	17503	7827
691	17529	7802
692	17554	7776
693	17577	7750
694	17601	7724
695	17634	7702
696	17659	7676
697	17685	7651
698	17714	7628
699	17743	7604
700	17768	7579
701	17797	7554
702	17823	7530
703	17849	7505
704	17873	7478
705	17897	7452
706	17922	7427
707	17949	7402
708	17973	7377
709	17997	7351
710	18022	7325
711	18050	7301
712	18072	7274
713	18097	7249
714	18124	7224
715	18147	7198
716	18171	7172
717	18195	7146
718	18216	7119
719	18240	7093
720	18267	7068
721	18290	7042
722	18316	7017
723	18341	6991
724	18364	6965
725	18389	6940
726	18412	6914
727	18438	6889
728	18463	6863
729	18488	6838
730	18516	6813
731	18541	6788
732	18563	6762
733	18588	6736
734	18613	6710
735	18640	6686
736	18668	6661
737	18696	6637
738	18722	6612
739	18746	6586
740	18773	6561
741	18800	6537
742	18826	6511
743	18851	6486
744	18878	6461
745	18901	6435
746	18924	6409
747	18946	6382
748	18973	6358
749	18995	6331
750	19021	6306
751	19048	6281
752	19074	6256
753	19102	6232
754	19125	6206
755	19145	6179
756	19178	6156
757	19203	6130
758	19229	6105
759	19255	6080
760	19280	6055
761	19304	6029
762	19328	6003
763	19352	5977
764	19378	5952
765	19402	5927
766	19428	5901
767	19455	5877
768	19478	5851
769	19502	5825
770	19526	5799
771	19551	5774
772	19576	5748
773	19598	5722
774	19622	5696
775	19645	5670
776	19667	5644
777	19690	5618
778	19716	5593
779	19739	5567
780	19761	5541
781	19788	5516
782	19812	5490
783	19838	5465
784	19861	5439
785	19888	5414
786	19914	5389
787	19941	5364
788	19965	5339
789	19988	5313
790	20011	5287
791	20038	5262
792	20061	5236
793	20083	5210
794	20108	5185
795	20129	5158
796	20154	5133
797	20180	5108
798	20206	5083
799	20230	5057
800	20256	5032
801	20281	5007
802	20307	4982
803	20332	4956
804	20357	4931
805	20380	4905
806	20406	4880
807	20433	4855
808	20458	4830
809	20482	4804
810	20516	4781
811	20542	4756
812	20565	4730
813	20589	4704
814	20613	4679
815	20639	4654
816	20666	4629
817	20689	4603
818	20711	4577
819	20735	4551
820	20761	4526
821	20788	4501
822	20815	4476
823	20841	4451
824	20868	4426
825	20890	4400
826	20915	4375
827	20939	4349
828	20964	4324
829	20989	4299
830	21011	4273
831	21037	4248
832	21060	4222
833	21088	4197
834	21111	4171
835	21137	4146
836	21162	4121
837	21184	4095
838	21207	4069
839	21233	4044
840	21256	4018
841	21282	3993
842	21306	3968
843	21329	3942
844	21353	3916
845	21375	3890
846	21398	3865
847	21422	3839
848	21447	3814
849	21472	3789
850	21500	3764
851	21527	3739
852	21553	3714
853	21578	3688
854	21603	3663
855	21628	3638
856	21651	3612
857	21674	3587
858	21700	3562
859	21723	3536
860	21748	3511
861	21773	3485
862	21794	3459
863	21818	3434
864	21844	3409
865	21867	3383
866	21891	3358
867	21915	3332
868	21942	3307
869	21968	3282
870	21991	3257
871	22016	3231
872	22045	3207
873	22068	3181
874	22093	3156
875	22119	3131
876	22144	3105
877	22169	3080
878	22195	3055
879	22219	3029
880	22241	3004
881	22268	2979
882	22292	2953
883	22317	2928
884	22343	2903
885	22365	2877
886	22386	2851
887	22408	2826
888	22433	2800
889	22456	2775
890	22477	2749
891	22503	2724
892	22527	2699
893	22552	2673
894	22575	2648
895	22599	2623
896	22625	2598
897	22651	2572
898	22675	2547
899	22700	2522
900	22726	2497
901	22750	2471
902	22776	2446
903	22801	2421
904	22828	2396
905	22851	2370
906	22880	2346
907	22906	2320
908	22935	2296
909	22962	2271
910	22981	2245
911	23007	2220
912	23032	2194
913	23057	2169
914	23080	2144
915	23103	2118
916	23129	2093
917	23153	2068
918	23175	2042
919	23202	2017
920	23230	1992
921	23258	1967
922	23280	1942
923	23305	1916
924	23326	1891
925	23347	1865
926	23375	1840
927	23400	1815
928	23425	1790
929	23448	1764
930	23476	1739
931	23501	1714
932	23528	1689
933	23552	1664
934	23578	1639
935	23604	1613
936	23627	1588
937	23651	1563
938	23677	1538
939	23706	1513
940	23733	1488
941	23759	1462
942	23783	1437
943	23810	1412
944	23834	1387
945	23861	1362
946	23887	1336
947	23913	1311
948	23939	1286
949	23962	1261
950	23988	1236
951	24016	1210
952	24044	1185
953	24066	1160
954	24096	1135
955	24125	1110
956	24154	1085
957	24184	1060
958	24219	1035
959	24245	1010
960	24272	985
961	24300	959
962	24326	934
963	24352	909
964	24376	884
965	24401	858
966	24430	833
967	24452	808
968	24477	783
969	24500	757
970	24525	732
971	24553	707
972	24576	681
973	24604	656
974	24634	631
975	24660	606
976	24684	581
977	24707	555
978	24734	530
979	24762	505
980	24791	480
981	24816	454
982	24845	429
983	24871	404
984	24898	379
985	24925	353
986	24951	328
987	24972	303
988	24998	278
989	25021	252
990	25046	227
991	25071	202
992	25098	176
993	25120	151
994	25146	126
995	25169	101
996	25193	75
997	25217	50
998	25248	25
999	25270	0
