iter	F1	Logloss
102	0.4087765858	0.4895107041
103	0.4083311521	0.4892825198
104	0.4092063967	0.4891085301
105	0.4099921586	0.4889259815
106	0.4102296061	0.4888088041
107	0.4112623532	0.4885078372
108	0.4115827526	0.488299245
109	0.4122160149	0.4881200379
110	0.412452521	0.4879963222
111	0.4128792109	0.4878362341
112	0.4132772671	0.4876731403
113	0.4134622536	0.4875527385
114	0.4140520446	0.4874304828
115	0.4138007956	0.4873232795
116	0.4139904847	0.4872655679
117	0.4146459208	0.4870807031
118	0.4150452993	0.4870092878
119	0.4152007719	0.4867966001
120	0.4154764996	0.4866453931
121	0.4154861678	0.4865092621
122	0.4157953281	0.4863672899
123	0.4158511269	0.4863387361
124	0.4156749342	0.4862585488
125	0.4168241616	0.4860853801
126	0.4172651218	0.4858990189
127	0.4178474971	0.4857678132
128	0.4185100244	0.485574131
129	0.4184515222	0.4855136176
130	0.4196299989	0.4851574173
131	0.4203610055	0.4849854754
132	0.4203610055	0.4849844125
133	0.4207807542	0.4849132537
134	0.4207497048	0.4848169737
135	0.4207110193	0.4847030406
136	0.421875	0.4845545898
137	0.4219020598	0.4845467415
138	0.4225486947	0.4844013375
139	0.4225486947	0.4844012888
140	0.4225486947	0.4843696751
141	0.4227767962	0.4843234915
142	0.4228731233	0.4841793881
143	0.422931155	0.4841121217
144	0.423511237	0.4839534212
145	0.423511237	0.4839509517
146	0.4234601949	0.4838757292
147	0.4244139046	0.4837379107
148	0.4251505803	0.4835193126
149	0.4254194354	0.4834313744
150	0.4249458258	0.4833116909
151	0.4250459053	0.4832861343
152	0.4251459626	0.4831397828
153	0.4254460025	0.4829502633
154	0.4253991558	0.482923049
155	0.4257240392	0.4828018388
156	0.42569898	0.4827071339
157	0.4260936526	0.4825851983
158	0.4268230121	0.4825119454
159	0.4277871312	0.4822299544
160	0.428351986	0.4820716573
161	0.428738574	0.4819688408
162	0.4285505339	0.4819182601
163	0.4286706893	0.4818236024
164	0.4291406221	0.481750227
165	0.4300171715	0.4815721599
166	0.4301318818	0.4815544463
167	0.4301318818	0.4815366241
168	0.4300643087	0.4814572811
169	0.4305535271	0.4813174032
170	0.4305535271	0.4813164874
171	0.4306108292	0.4813145078
172	0.4302771388	0.481187883
173	0.4302771388	0.481184346
174	0.430334453	0.4811206417
175	0.4306468098	0.4810878887
176	0.4307040917	0.4810862119
177	0.4310734876	0.4810275936
178	0.4313596731	0.4809537659
179	0.4314068885	0.4809035037
180	0.4316772452	0.480728292
181	0.4318745441	0.480664046
182	0.4319060471	0.480614486
183	0.4320460927	0.4805534674
184	0.4322590054	0.4804831446
185	0.4323989356	0.4804392676
186	0.4328086285	0.480385118
187	0.4328815042	0.4802556203
188	0.4334365325	0.4801294778
189	0.4334681091	0.4800962899
190	0.4334620147	0.4800319443
191	0.4336743983	0.4799317363
192	0.4341463415	0.479753369
193	0.4341463415	0.4797525903
194	0.4341655142	0.4795791834
195	0.434279476	0.4795289498
196	0.4343838707	0.4793760616
197	0.4344566562	0.4793370366
198	0.4346054498	0.4793008742
199	0.4349154392	0.479260055
200	0.4350134555	0.4791449105
201	0.4354527938	0.4791416025
202	0.4355723472	0.4791038459
203	0.4356795235	0.4789765722
204	0.4363702359	0.4787813188
205	0.4368967269	0.4786684402
206	0.4371893931	0.4785464422
207	0.4372369758	0.4783758346
208	0.4372710457	0.4782632372
209	0.4372710457	0.4782560579
210	0.4381774024	0.4780602801
211	0.4383065101	0.477913562
212	0.4383631157	0.4778976479
213	0.4390420637	0.4778175643
214	0.4392205158	0.4777138214
215	0.4392364255	0.4775996614
216	0.4393670565	0.4775251733
217	0.4396654719	0.4773766397
218	0.439924725	0.4772005129
219	0.4407306927	0.4770412435
220	0.4409733521	0.4768989177
221	0.4409255242	0.4768709058
222	0.4416025433	0.4767040749
223	0.4419310544	0.4766459525
224	0.441802479	0.476441474
225	0.4421090646	0.4762533564
226	0.4426152569	0.4761784863
227	0.4427519492	0.4761019734
228	0.4429849885	0.4759634063
229	0.4431297572	0.4758374324
230	0.4431297572	0.4758365345
231	0.4431297572	0.475835799
232	0.4432740522	0.4757484364
233	0.4435786436	0.4756645497
234	0.4439956726	0.4755038462
235	0.4440517832	0.4755029738
236	0.4441961067	0.4753227938
237	0.4449490035	0.4751249923
238	0.4459644323	0.4749087257
239	0.4459483783	0.47490535
240	0.4456525653	0.4748139513
241	0.4463553285	0.4747147781
242	0.4467457749	0.4745627908
243	0.4469530829	0.4745111419
244	0.4469454532	0.474392488
245	0.4469852227	0.4743451944
246	0.4473277504	0.4742464097
247	0.447614257	0.4741247735
248	0.4475981748	0.4740915962
249	0.4477418891	0.4740315691
250	0.4478930919	0.4739188361
251	0.4480615141	0.4737908023
252	0.4480454153	0.4737866783
253	0.447998275	0.4736798791
254	0.4480132212	0.4735465946
255	0.4480850758	0.4734102634
256	0.4486424364	0.4732881047
257	0.4488491508	0.473140506
258	0.4488887293	0.4731399953
259	0.4490162286	0.4731224035
260	0.4491275939	0.4731213765
261	0.4491275939	0.4731207843
262	0.4493736765	0.4729372531
263	0.4497253832	0.4727459078
264	0.4500592183	0.4726277452
265	0.4500825379	0.4725760117
266	0.4508214363	0.472436269
267	0.4508770042	0.4724070419
268	0.4508052656	0.4723129667
269	0.4510064224	0.4722178226
270	0.4513883906	0.4721158108
271	0.4515874439	0.471979951
272	0.4520410359	0.4718819677
273	0.4520223752	0.4716713304
274	0.4520130499	0.4715367424
275	0.4521358631	0.4714104959
276	0.452485118	0.4712951919
277	0.4528842709	0.4711593248
278	0.4534900387	0.4711129291
279	0.4534900387	0.471109376
280	0.4535846082	0.4710414724
281	0.4539921232	0.4708674459
282	0.4539301701	0.470847504
283	0.4539301701	0.4707578463
284	0.4538814093	0.4707246395
285	0.4536208008	0.4706553342
286	0.453572068	0.4705545759
287	0.4539921232	0.4705035367
288	0.4549390004	0.4703219221
289	0.4550332689	0.470201706
290	0.4552839709	0.4700331151
291	0.4554108216	0.4700077908
292	0.4556155855	0.4698621271
293	0.4560938954	0.4696892897
294	0.4566281854	0.4695389199
295	0.4572286143	0.4694149737
296	0.4575326809	0.4693549484
297	0.4583184513	0.4692274855
298	0.4583184513	0.469224355
299	0.4582545065	0.469082625
300	0.4585132579	0.4689827477
301	0.4587332739	0.4689351978
302	0.4587614155	0.4688159406
303	0.4591017729	0.4686608819
304	0.4587110128	0.4685432926
305	0.4596840341	0.4684269176
306	0.4600520518	0.4683354069
307	0.4599586394	0.4683252787
308	0.4599414996	0.4681518062
309	0.4602710414	0.4680875073
310	0.4603808573	0.4680857823
311	0.4607815174	0.4679969549
312	0.4608363935	0.4679955034
313	0.4609681329	0.4679138963
314	0.4611711037	0.4678996207
315	0.4611711037	0.4678980646
316	0.4618180522	0.4677934615
317	0.4622070243	0.4677320667
318	0.4619220631	0.4676663424
319	0.4627210933	0.4675738788
320	0.4629122345	0.4674817404
321	0.4630979904	0.4674094477
322	0.4629557176	0.4673087566
323	0.4631204412	0.4672815659
324	0.4630328044	0.4672369972
325	0.4635299975	0.4671505002
326	0.4639453847	0.4670556541
327	0.4639288889	0.467054629
328	0.4643060296	0.46692398
329	0.4646665719	0.4668347266
330	0.4649178929	0.4666723131
331	0.4646335395	0.4666226282
332	0.4646881109	0.4666216767
333	0.4650319829	0.4665368914
334	0.4649493693	0.4664415522
335	0.4655607261	0.4663813807
336	0.4657952689	0.4662629519
337	0.4658283603	0.4661702295
338	0.4659042478	0.4660253193
339	0.4659801136	0.4659907864
340	0.4661317807	0.4659581461
341	0.4661317807	0.4659569266
342	0.4660180385	0.4659394708
343	0.4665909252	0.4657655919
344	0.4667210962	0.4656641418
345	0.4666382737	0.4656114449
346	0.4672366694	0.4654401962
347	0.4671159986	0.4653121515
348	0.4674256127	0.4652462994
349	0.46732884	0.4652124312
350	0.4679553112	0.4651026156
351	0.4679055252	0.4649554312
352	0.4678180077	0.4648713049
353	0.4679100773	0.4647676109
354	0.4671988646	0.4646887224
355	0.4672532463	0.4646761742
356	0.4675204882	0.4646261584
357	0.4678541016	0.4645308213
358	0.4683176045	0.4644644264
359	0.4683719445	0.4644618402
360	0.4686812797	0.4643552303
361	0.4689449801	0.464229719
362	0.469099032	0.4641011386
363	0.4692951354	0.4639956653
364	0.469403673	0.4639944974
365	0.4691865825	0.4638615957
366	0.4693327661	0.4637267459
367	0.4693327661	0.4637245706
368	0.4695331608	0.4637110981
369	0.4697710681	0.4635431376
370	0.4700921332	0.4633979015
371	0.4698376692	0.4633116149
372	0.4703087886	0.4631645486
373	0.4702212138	0.4630914004
374	0.4703505476	0.4630725897
375	0.4706216092	0.4629526277
376	0.4706090903	0.4628635882
377	0.4707591976	0.4628268403
378	0.4709800865	0.4627504865
379	0.4710008857	0.4626492599
380	0.4711633839	0.4625508319
381	0.471105127	0.4624608297
382	0.4715383798	0.4623889988
383	0.4717382065	0.4623046431
384	0.4721090845	0.4621761268
385	0.471930011	0.4621686659
386	0.4719841326	0.4621637433
387	0.4724916802	0.4621210157
388	0.4726667611	0.4620264671
389	0.4727916445	0.4620252085
390	0.473015536	0.4619395087
391	0.4732484076	0.4618523672
392	0.4734347365	0.4617560408
393	0.4733564504	0.4615929049
394	0.4734682326	0.4615848145
395	0.4733937164	0.4615242664
396	0.4736637306	0.4614255063
397	0.4737921766	0.4613176228
398	0.4741495155	0.4612230438
399	0.4743354072	0.4611638122
400	0.474688914	0.4610702363
401	0.474975258	0.4609411758
402	0.474975258	0.4608835065
403	0.4745511099	0.4608275594
404	0.4746625203	0.4607925141
405	0.4745618994	0.4607004102
406	0.4745618994	0.4606857574
407	0.4747403377	0.4606338978
408	0.4747235666	0.4606325979
409	0.4749523069	0.4606011164
410	0.4749894023	0.4605976046
411	0.475639034	0.4604382246
412	0.4759114813	0.4603551869
413	0.4761434218	0.460300136
414	0.4760560398	0.4602551116
415	0.4757466638	0.4601451602
416	0.4755817649	0.4601016086
417	0.4756355932	0.4600486463
418	0.475672622	0.4600364398
419	0.475639034	0.4599324042
420	0.476066083	0.4598742817
421	0.4760930167	0.4597541127
422	0.4760795936	0.4597317042
423	0.4763618402	0.4596435391
424	0.4764458873	0.4595696017
425	0.4761366846	0.4594762341
426	0.4761366846	0.4594728166
427	0.4761366846	0.4594721555
428	0.4763551666	0.4593960283
429	0.4763921237	0.4593952024
430	0.4765164614	0.4592902436
431	0.4767011182	0.459109718
432	0.476788486	0.4590988284
433	0.4768590377	0.4590152385
434	0.477359289	0.4588744167
435	0.4773761241	0.4587648537
436	0.4777519216	0.4586157724
437	0.4777519216	0.4585903862
438	0.4778055918	0.458570334
439	0.4779696863	0.4584759759
440	0.4777382169	0.4583178373
441	0.4783758063	0.458209317
442	0.478144388	0.4580828516
443	0.4785397139	0.4579936279
444	0.4788841534	0.457934091
445	0.4787908681	0.4579163701
446	0.4792055499	0.4578183813
447	0.4791886753	0.4578174439
448	0.4792026204	0.4577708815
449	0.4792591028	0.4576447135
450	0.4791886753	0.4575463925
451	0.479898613	0.4574436359
452	0.4800591362	0.4573702623
453	0.4804504663	0.4572584392
454	0.4806081509	0.4571464921
455	0.4807658466	0.4570855539
456	0.4811177982	0.4569899992
457	0.481064339	0.4569387046
458	0.4812220619	0.4568789187
459	0.481365476	0.4568316118
460	0.4816860772	0.456730774
461	0.4816860772	0.4566681267
462	0.4813850377	0.4566106069
463	0.4816521831	0.456557781
464	0.4823996905	0.4564745521
465	0.4824336205	0.4564557006
466	0.4827004219	0.4563645997
467	0.4828774348	0.4563182938
468	0.4835751678	0.4561934301
469	0.483396001	0.45610585
470	0.4831440925	0.4560521429
471	0.4831440925	0.4560514201
472	0.4834106565	0.4559932326
473	0.4834299772	0.4559142256
474	0.4835025827	0.4559136447
475	0.4837689713	0.4558317093
476	0.4841099835	0.4557438316
477	0.4842992624	0.4556275364
478	0.4841373011	0.4556023705
479	0.4842075677	0.4554662621
480	0.4841905565	0.4553609321
481	0.4841373011	0.4553248269
482	0.484422746	0.4552311925
483	0.4843865257	0.4551352807
484	0.4843717075	0.4550475605
485	0.4849016854	0.4549258646
486	0.48492083	0.4548978303
487	0.4852058545	0.4548337538
488	0.4856842105	0.454775644
489	0.4856671696	0.4547076847
490	0.4857032593	0.4547071315
491	0.4854866449	0.4546706956
492	0.4855929527	0.4546430114
493	0.4857714306	0.4545596752
494	0.4861223201	0.4545023488
495	0.486689348	0.4543805064
496	0.4867424242	0.4543136804
497	0.4867936441	0.4542304364
498	0.4869357837	0.4541645688
499	0.4872352364	0.4541037149
500	0.4871992705	0.4540258672
501	0.4877484488	0.4539057994
502	0.4879074658	0.4539052061
503	0.4876424189	0.4538246214
504	0.488208291	0.453717393
505	0.4883313477	0.4536786659
506	0.4884014297	0.4536322963
507	0.4884014297	0.45362577
508	0.4887549919	0.4535510425
509	0.4894086342	0.4534034717
510	0.4896529991	0.4533026841
511	0.4897230295	0.4532116849
512	0.4897773421	0.4531451823
513	0.4897430512	0.4530616595
514	0.4899916013	0.4529983201
515	0.4903455996	0.4529145851
516	0.4906082759	0.4528580089
517	0.4906610703	0.4528575168
518	0.4903614036	0.4527777248
519	0.4906082759	0.452707744
520	0.4903442485	0.4526433299
521	0.4904498706	0.4526428967
522	0.4904498706	0.4525828713
523	0.4904142177	0.4525309225
524	0.490468362	0.4524671682
525	0.4909777591	0.4524024674
526	0.4910133576	0.4524020693
527	0.4913127076	0.4523245303
528	0.4913814202	0.4522236061
529	0.4917849402	0.4521228718
530	0.4918731868	0.4521221299
531	0.4922593046	0.452061507
532	0.4923464039	0.4520310659
533	0.4926442324	0.4519611764
534	0.492853898	0.4519080436
535	0.4928356748	0.451850147
536	0.4929237866	0.4518090046
537	0.4931679189	0.4517571596
538	0.4930788591	0.4516810439
539	0.4932895289	0.4516288469
540	0.4933086411	0.4515076332
541	0.493398533	0.451438241
542	0.4934157672	0.4513702812
543	0.4937840481	0.4513037372
544	0.4937840481	0.4513034834
545	0.4937486904	0.451253933
546	0.4938719927	0.4512143784
547	0.4938194008	0.4511897771
548	0.4938194008	0.451129531
549	0.4938194008	0.4510753196
550	0.4937668052	0.4510279873
551	0.4938900915	0.4510184303
552	0.4941874673	0.4509570984
553	0.4942400335	0.4509549889
554	0.4942925961	0.450898902
555	0.4943278998	0.4508432354
556	0.4949043697	0.4507897656
557	0.4954115636	0.4507046365
558	0.4953065569	0.4506452914
559	0.4954461388	0.4505928391
560	0.4956209219	0.4505262088
561	0.4957956805	0.4504364835
562	0.4963381461	0.4503468743
563	0.4963905841	0.4502894207
564	0.4963905841	0.4502888715
565	0.4962857043	0.4502439523
566	0.4962332589	0.4502260187
567	0.4965305624	0.4501885288
568	0.4966002999	0.4501881861
569	0.4963727679	0.4500935537
570	0.4968437206	0.4500420987
571	0.4968437206	0.450041027
572	0.4968437206	0.4499440056
573	0.4968090671	0.4499317673
574	0.4966695728	0.4498676614
575	0.4966522528	0.4498672842
576	0.4970187245	0.4497726797
577	0.4970542095	0.4496836862
578	0.497088868	0.4496192402
579	0.496861487	0.4495694557
580	0.4970187245	0.4495375132
581	0.4972102106	0.449473471
582	0.4972102106	0.4494293957
583	0.4970707212	0.4493659174
584	0.49738439	0.4491934886
585	0.4972969202	0.4491362833
586	0.4977334542	0.4490178579
587	0.4977334542	0.4490176503
588	0.4980826884	0.4489592914
589	0.4983270598	0.4489092417
590	0.4983793957	0.4488471728
591	0.498553755	0.4487135744
592	0.4985887027	0.4486857768
593	0.4986410203	0.4486754856
594	0.4987107115	0.4486142209
595	0.4988328746	0.4485330609
596	0.4988504145	0.4484904985
597	0.4990594301	0.4484598443
598	0.4994949319	0.4482995067
599	0.4998258689	0.4481884678
600	0.4999651738	0.4480457651
601	0.4999651786	0.4479572316
602	0.5	0.4479131707
603	0.5001741068	0.4478625813
604	0.5000870868	0.4477568223
605	0.5002612785	0.4477210187
606	0.5002960538	0.4476676983
607	0.50060948	0.4475898256
608	0.5006443523	0.4474885474
609	0.5007836718	0.4473667851
610	0.5008358874	0.4473658836
611	0.5011667189	0.4472638013
612	0.5011145166	0.4472227563
613	0.5013580333	0.447180966
614	0.5015669615	0.4471541108
615	0.5018270402	0.4470139
616	0.5020011833	0.4469564418
617	0.5016708438	0.4469279883
618	0.5018447616	0.4468857165
619	0.5018447616	0.4468209337
620	0.5020014619	0.4467306207
621	0.5018450185	0.4466658542
622	0.5018447616	0.4466176074
623	0.5022096948	0.4464701407
624	0.502400668	0.4464271362
625	0.5028352757	0.4463429942
626	0.5028352757	0.4463419442
627	0.5028006819	0.4463056607
628	0.5030969448	0.4461462613
629	0.5036856745	0.4460240703
630	0.503910731	0.4459136047
631	0.5040322581	0.4458409645
632	0.5040848253	0.4457886083
633	0.5041888275	0.4457302421
634	0.5042069397	0.4456304596
635	0.5042946065	0.4455851445
636	0.5043466166	0.4455823144
637	0.5042414129	0.445469619
638	0.5041368282	0.4453879948
639	0.5044318537	0.4453299832
640	0.504501373	0.4452678495
641	0.5046215859	0.4452311702
642	0.5046391215	0.4452078761
643	0.5046391215	0.4452071026
644	0.5047430418	0.4451983631
645	0.5051066491	0.4451573993
646	0.5052112285	0.4450261101
647	0.5056624748	0.4449566127
648	0.5058006252	0.4448504092
649	0.5062842858	0.4447579953
650	0.506231557	0.4447404838
651	0.5062825408	0.4446721084
652	0.5062825408	0.4446699597
653	0.5063537254	0.4445994837
654	0.5063704218	0.4445009892
655	0.5061462602	0.4444504549
656	0.5062842858	0.4444163121
657	0.5064917031	0.4443868601
658	0.5069405886	0.4443304871
659	0.5069591475	0.4442370213
660	0.5069591475	0.4442368031
661	0.5069767442	0.4441668176
662	0.5074792628	0.4440763884
663	0.507825242	0.4440100264
664	0.5081711252	0.4438989428
